timestamp,server,cpu_idle,memory_idle,tasks_in_progress
2025-03-27 13:53:20,server3,78.35,85.04,1
2025-03-27 13:53:21,server1,87.38,88.8,0
2025-03-27 13:53:21,server2,82.31,90.88,0
2025-03-27 13:53:21,server3,83.29,89.39,0
2025-03-27 13:53:22,server1,78.52,82.74,1
2025-03-27 13:53:22,server2,82.31,90.88,0
2025-03-27 13:53:22,server3,83.29,89.39,0
2025-03-27 13:53:23,server1,78.52,82.74,1
2025-03-27 13:53:23,server2,82.31,90.88,0
2025-03-27 13:53:23,server3,83.29,89.39,0
2025-03-27 13:53:24,server1,78.52,82.74,1
2025-03-27 13:53:24,server2,82.31,90.88,0
2025-03-27 13:53:24,server3,83.29,89.39,0
2025-03-27 13:53:25,server1,78.52,82.74,1
2025-03-27 13:53:25,server2,82.31,90.88,0
2025-03-27 13:53:25,server3,83.29,89.39,0
2025-03-27 13:53:26,server1,78.52,82.74,1
2025-03-27 13:53:26,server2,82.31,90.88,0
2025-03-27 13:53:26,server3,83.29,89.39,0
2025-03-27 13:53:27,server1,78.52,82.74,1
2025-03-27 13:53:27,server2,82.31,90.88,0
2025-03-27 13:53:27,server3,83.29,89.39,0
2025-03-27 13:53:28,server1,78.52,82.74,1
2025-03-27 13:53:28,server2,82.31,90.88,0
2025-03-27 13:53:28,server3,83.29,89.39,0
2025-03-27 13:53:29,server1,78.52,82.74,1
2025-03-27 13:53:29,server2,82.31,90.88,0
2025-03-27 13:53:29,server3,83.29,89.39,0
2025-03-27 13:53:30,server1,78.52,82.74,1
2025-03-27 13:53:30,server2,82.31,90.88,0
2025-03-27 13:53:30,server3,83.29,89.39,0
2025-03-27 13:53:31,server1,78.52,82.74,1
2025-03-27 13:53:31,server2,82.31,90.88,0
2025-03-27 13:53:31,server3,83.29,89.39,0
2025-03-27 13:53:32,server1,78.52,82.74,1
2025-03-27 13:53:32,server2,82.31,90.88,0
2025-03-27 13:53:32,server3,83.29,89.39,0
2025-03-27 13:53:33,server1,82.16,86.84,0
2025-03-27 13:53:33,server2,82.31,90.88,0
2025-03-27 13:53:33,server3,83.29,89.39,0
2025-03-27 13:53:35,server1,82.16,86.84,0
2025-03-27 13:53:35,server2,82.31,90.88,0
2025-03-27 13:53:35,server3,72.15,80.71,1
2025-03-27 13:53:36,server1,82.16,86.84,0
2025-03-27 13:53:36,server2,82.31,90.88,0
2025-03-27 13:53:36,server3,72.15,80.71,1
2025-03-27 13:53:37,server1,82.16,86.84,0
2025-03-27 13:53:37,server2,82.31,90.88,0
2025-03-27 13:53:37,server3,72.15,80.71,1
2025-03-27 13:53:38,server1,82.16,86.84,0
2025-03-27 13:53:38,server2,82.31,90.88,0
2025-03-27 13:53:38,server3,72.15,80.71,1
2025-03-27 13:53:39,server1,82.16,86.84,0
2025-03-27 13:53:39,server2,82.31,90.88,0
2025-03-27 13:53:39,server3,72.15,80.71,1
2025-03-27 13:53:40,server1,82.16,86.84,0
2025-03-27 13:53:40,server2,82.31,90.88,0
2025-03-27 13:53:40,server3,72.15,80.71,1
2025-03-27 13:53:41,server1,82.16,86.84,0
2025-03-27 13:53:41,server2,82.31,90.88,0
2025-03-27 13:53:41,server3,72.15,80.71,1
2025-03-27 13:53:42,server1,82.16,86.84,0
2025-03-27 13:53:42,server2,82.31,90.88,0
2025-03-27 13:53:42,server3,72.15,80.71,1
2025-03-27 13:53:43,server1,82.16,86.84,0
2025-03-27 13:53:43,server2,82.31,90.88,0
2025-03-27 13:53:43,server3,72.15,80.71,1
2025-03-27 13:53:44,server1,82.16,86.84,0
2025-03-27 13:53:44,server2,82.31,90.88,0
2025-03-27 13:53:44,server3,72.15,80.71,1
2025-03-27 13:53:45,server1,82.16,86.84,0
2025-03-27 13:53:45,server2,82.31,90.88,0
2025-03-27 13:53:45,server3,72.15,80.71,1
2025-03-27 13:53:46,server1,82.16,86.84,0
2025-03-27 13:53:46,server2,82.31,90.88,0
2025-03-27 13:53:46,server3,76.41,84.48,0
2025-03-27 13:53:47,server1,82.16,86.84,0
2025-03-27 13:53:47,server2,73.82,82.49,1
2025-03-27 13:53:47,server3,76.41,84.48,0
2025-03-27 13:53:48,server1,82.16,86.84,0
2025-03-27 13:53:48,server2,73.82,82.49,1
2025-03-27 13:53:48,server3,76.41,84.48,0
2025-03-27 13:53:49,server1,82.16,86.84,0
2025-03-27 13:53:49,server2,73.82,82.49,1
2025-03-27 13:53:49,server3,76.41,84.48,0
2025-03-27 13:53:50,server1,82.16,86.84,0
2025-03-27 13:53:50,server2,73.82,82.49,1
2025-03-27 13:53:50,server3,76.41,84.48,0
2025-03-27 13:53:51,server1,82.16,86.84,0
2025-03-27 13:53:51,server2,73.82,82.49,1
2025-03-27 13:53:51,server3,76.41,84.48,0
